query	target	evalue	fident	bits	isQuery
NC_000866.4_prot_NP_049669.1_54_known	NC_000866.4_prot_NP_049669.1_54_known	1.000	3.031E-72	3425	true
NC_000866.4_prot_NP_049669.1_54_known	MH550421.1_prot_AXN58094.1_53_known	0.985	4.282E-72	3418	false
NC_000866.4_prot_NP_049669.1_54_known	MH751506.1_prot_AYD82651.1_54_known	0.958	3.950E-71	3373	false
NC_000866.4_prot_NP_049669.1_54_known	MZ501066.1_prot_QXV78880.1_172_known	0.990	5.999E-67	3178	false
NC_000866.4_prot_NP_049669.1_54_known	MZ501098.1_prot_QXV83534.1_167_known	0.990	5.999E-67	3178	false
NC_000866.4_prot_NP_049669.1_54_known	MZ501067.1_prot_QXV79158.1_169_known	0.990	5.999E-67	3178	false
NC_000866.4_prot_NP_049669.1_54_known	MZ501052.1_prot_QXV76380.1_171_known	0.990	5.999E-67	3178	false
NC_000866.4_prot_NP_049669.1_54_known	MZ501065.1_prot_QXV78608.1_167_known	0.954	4.115E-66	3139	false
NC_000866.4_prot_NP_049669.1_54_known	MZ501046.1_prot_QXV75444.1_168_known	0.954	4.115E-66	3139	false
NC_000866.4_prot_NP_049669.1_54_known	MZ501089.1_prot_QXV82148.1_167_known	0.954	4.115E-66	3139	false
NC_000866.4_prot_NP_049669.1_54_known	MZ501050.1_prot_QXV76020.1_166_known	0.954	4.115E-66	3139	false
NC_000866.4_prot_NP_049669.1_54_known	MZ501113.1_prot_QXV86005.1_168_known	0.954	4.115E-66	3139	false
NC_000866.4_prot_NP_049669.1_54_known	MZ501106.1_prot_QXV84907.1_171_known	0.954	4.115E-66	3139	false
NC_000866.4_prot_NP_049669.1_54_known	MZ501096.1_prot_QXV83198.1_167_known	0.952	1.998E-65	3107	false
NC_000866.4_prot_NP_049669.1_54_known	MZ501056.1_prot_QXV77000.1_156_known	0.822	4.423E-62	2951	false
NC_000866.4_prot_NP_049669.1_54_known	MZ501047.1_prot_QXV75166.1_161_known	0.827	1.130E-61	2932	false
 
NC_000866.4_prot_NP_049735.1_122_known	NC_000866.4_prot_NP_049735.1_122_known	1.000	1.358E-21	933	true
NC_000866.4_prot_NP_049735.1_122_known	MZ501056.1_prot_QXV77060.1_216_known	0.916	1.910E-20	886	false
 
NC_000866.4_prot_NP_049698.1_84_known	MZ501065.1_prot_QXV78636.1_195_known	1.000	2.460E-14	523	false
NC_000866.4_prot_NP_049698.1_84_known	MZ501098.1_prot_QXV83565.1_198_known	1.000	2.460E-14	523	false
NC_000866.4_prot_NP_049698.1_84_known	NC_000866.4_prot_NP_049698.1_84_known	1.000	2.460E-14	523	true
NC_000866.4_prot_NP_049698.1_84_known	MZ501113.1_prot_QXV86034.1_197_known	1.000	2.460E-14	523	false
NC_000866.4_prot_NP_049698.1_84_known	MZ501067.1_prot_QXV79188.1_199_known	1.000	2.460E-14	523	false
NC_000866.4_prot_NP_049698.1_84_known	MZ501089.1_prot_QXV82176.1_195_known	1.000	2.460E-14	523	false
NC_000866.4_prot_NP_049698.1_84_known	MH550421.1_prot_AXN58122.1_81_known	1.000	2.460E-14	523	false
NC_000866.4_prot_NP_049698.1_84_known	MZ501106.1_prot_QXV84938.1_202_known	1.000	2.460E-14	523	false
NC_000866.4_prot_NP_049698.1_84_known	MZ501066.1_prot_QXV78911.1_203_known	1.000	2.460E-14	523	false
NC_000866.4_prot_NP_049698.1_84_known	MZ501046.1_prot_QXV75474.1_198_known	1.000	2.460E-14	523	false
NC_000866.4_prot_NP_049698.1_84_known	MZ501052.1_prot_QXV76408.1_199_known	1.000	2.460E-14	523	false
NC_000866.4_prot_NP_049698.1_84_known	MZ501096.1_prot_QXV83228.1_197_known	0.988	2.820E-14	521	false
NC_000866.4_prot_NP_049698.1_84_known	MH751506.1_prot_AYD82680.1_83_known	0.988	3.462E-14	518	false
NC_000866.4_prot_NP_049698.1_84_known	MZ501050.1_prot_QXV76052.1_198_known	0.988	3.462E-14	518	false
NC_000866.4_prot_NP_049698.1_84_known	MZ501056.1_prot_QXV77029.1_185_known	0.918	1.034E-13	502	false
NC_000866.4_prot_NP_049698.1_84_known	MZ501047.1_prot_QXV75195.1_190_known	0.906	1.669E-13	495	false
 
NC_000866.4_prot_NP_049657.1_42_known	NC_000866.4_prot_NP_049657.1_42_known	1.000	1.472E-32	1279	true
 
NC_000866.4_prot_NP_049618.1_3_known	NC_000866.4_prot_NP_049618.1_3_known	1.000	5.191E-26	967	true
NC_000866.4_prot_NP_049618.1_3_known	MZ501113.1_prot_QXV85951.1_114_known	0.819	2.592E-21	800	false
NC_000866.4_prot_NP_049618.1_3_known	MH751506.1_prot_AYD82600.1_3_known	0.805	2.592E-21	800	false
NC_000866.4_prot_NP_049618.1_3_known	MZ501098.1_prot_QXV83479.1_112_known	0.819	4.644E-21	791	false
NC_000866.4_prot_NP_049618.1_3_known	MZ501066.1_prot_QXV78825.1_117_known	0.819	4.644E-21	791	false
NC_000866.4_prot_NP_049618.1_3_known	MZ501096.1_prot_QXV83145.1_114_known	0.819	4.644E-21	791	false
NC_000866.4_prot_NP_049618.1_3_known	MZ501052.1_prot_QXV76326.1_117_known	0.819	4.644E-21	791	false
NC_000866.4_prot_NP_049618.1_3_known	MZ501106.1_prot_QXV84852.1_116_known	0.819	4.644E-21	791	false
NC_000866.4_prot_NP_049618.1_3_known	MZ501067.1_prot_QXV79103.1_114_known	0.819	4.644E-21	791	false
NC_000866.4_prot_NP_049618.1_3_known	MZ501065.1_prot_QXV78554.1_113_known	0.805	4.644E-21	791	false
NC_000866.4_prot_NP_049618.1_3_known	MZ501050.1_prot_QXV75966.1_112_known	0.819	4.644E-21	791	false
